NODE	2	3	4	5	6	7	8	9	10	11	12	13	14	
N1	7.76342e-006	0.334967	0.000166459	2.52717e-006	0.662578	0.00227589	2.93231e-006	7.24792e-009	1.97985e-011	8.04196e-014	1.27758e-017	3.32347e-019	1.04534e-020	
N2	1.23753e-009	0.00559027	5.39754e-008	1.18159e-007	0.994403	6.3305e-006	3.02103e-010	1.56686e-013	8.97911e-014	3.83441e-012	1.35699e-008	1.23446e-013	1.09906e-016	
N3	3.55848e-012	3.18509e-005	9.0863e-010	1.69509e-007	0.999966	1.58656e-006	7.80705e-012	3.51489e-014	4.86951e-013	3.63555e-011	4.49746e-009	3.55594e-014	2.46429e-017	
N4	8.93243e-014	4.07541e-006	1.1562e-011	1.93017e-008	0.478381	1.47597e-007	1.04191e-013	3.74219e-015	2.26031e-009	2.01907e-005	0.521595	1.6641e-007	1.80095e-009	
N5	2.85607e-016	5.32741e-008	2.40294e-013	1.59416e-007	0.0799222	6.42679e-009	3.14834e-016	3.42353e-015	1.6795e-008	0.00521656	0.914861	7.63965e-008	8.15877e-011	
N6	2.87209e-016	4.11209e-009	3.53797e-012	4.47799e-008	0.0268524	1.43696e-008	1.78322e-014	1.08674e-013	2.70797e-009	0.00502847	0.968118	1.54458e-006	2.52551e-008	
N7	3.97521e-018	1.13282e-010	4.56906e-013	3.53591e-010	0.00574018	2.93152e-009	4.93384e-015	6.8673e-014	1.48046e-010	0.000689027	0.993568	2.83921e-006	3.51464e-008	
N8	3.90143e-019	1.52717e-011	2.68259e-013	2.48801e-009	0.00125004	8.23305e-010	1.23787e-015	2.00998e-014	3.78388e-010	0.000782953	0.997964	2.49227e-006	1.50548e-008	
Atrachelacris_sp	0	0	0	0	0	0	0	0	0	1	0	0	0	
N9	1.81872e-018	1.07452e-011	1.10403e-012	2.43331e-010	0.000977449	1.73201e-009	5.21715e-014	4.89239e-012	1.46839e-009	8.10431e-005	0.998932	8.85371e-006	8.78914e-007	
Leiotettix_viridis	0	0	0	0	0	0	0	0	0	0	1	0	0	
Pseudoscopas_nigrigena	0	0	0	0	0	0	0	0	0	0	1	0	0	
N10	5.42325e-018	7.17298e-011	2.04213e-012	9.5973e-010	0.00137804	3.29401e-009	3.08053e-014	2.17281e-013	4.23034e-009	0.00118062	0.997428	1.3152e-005	2.15592e-007	
N11	2.72825e-019	4.80766e-012	1.04679e-013	1.55736e-009	0.000186266	2.42348e-010	1.31531e-015	7.19999e-014	2.5652e-008	0.0559738	0.943834	5.61853e-006	5.42126e-008	
N12	3.1665e-023	1.05276e-014	2.1671e-017	5.88217e-012	1.54094e-006	2.26518e-013	1.72572e-017	5.92442e-014	6.4296e-009	0.0580985	0.941899	8.827e-007	7.28318e-010	
Leiotettix_pulcher	0	0	0	0	0	0	0	0	0	1	0	0	0	
Scotussa_lemniscata	0	0	0	0	0	0	0	0	0	0	1	0	0	
Scotussa_daguerrei	0	0	0	0	0	0	0	0	0	1	0	0	0	
Scotussa_impudica	0	0	0	0	0	0	0	0	0	0	1	0	0	
Dichromatos_lilloanus	0	0	0	0	0	0	0	0	0	1	0	0	0	
N13	3.60004e-015	3.72604e-009	9.45266e-011	5.92397e-005	0.0524062	2.50144e-008	2.62561e-014	6.40728e-012	0.000179652	0.745241	0.202114	1.44843e-007	6.22416e-010	
Chlorus_bolivianus	0	0	0	0	0	0	0	0	1	0	0	0	0	
N14	9.56525e-017	3.03466e-009	1.70554e-010	1.27368e-005	0.0334469	1.647e-008	2.31506e-013	1.99615e-012	2.13278e-005	0.77235	0.194169	1.84358e-007	2.20133e-009	
