NODE	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
N1	0.117805	0.115569	0.111233	0.104999	0.0971383	0.087979	0.0778861	0.0672476	0.0564653	0.0459476	0.0360926	0.0272549	0.019703	0.013581	0.00889235	0.00551161	0.00322366	0.00177423	0.000916619	0.000443551	0.000200659	8.47311e-005	3.33512e-005	1.22235e-005	4.16806e-006	1.32159e-006	3.89584e-007	1.06804e-007	2.72607e-008	6.49515e-009	1.45287e-009	3.09008e-010	6.43612e-011	1.40722e-011	3.77484e-012	1.65837e-012	
N2	0.129901	0.119867	0.110671	0.10179	0.0927939	0.0834849	0.0739052	0.0642713	0.0540059	0.0444704	0.0352129	0.027273	0.0201826	0.0146059	0.0100212	0.00675353	0.00427611	0.00269735	0.00158182	0.000954634	0.000528097	0.000318487	0.000171662	0.000108262	5.84614e-005	3.88632e-005	2.09213e-005	1.41354e-005	7.47319e-006	5.01669e-006	2.64463e-006	1.83126e-006	1.09707e-006	9.16769e-007	7.8745e-007	9.37951e-007	
N3	0.102669	0.0968948	0.0931323	0.0901796	0.0869783	0.0828237	0.0774587	0.0710118	0.0627671	0.0543894	0.0453948	0.037115	0.0291014	0.0222716	0.016241	0.0115196	0.00774203	0.00505609	0.00311912	0.00187363	0.00106187	0.000588434	0.000307708	0.000158226	7.69484e-005	3.70383e-005	1.69242e-005	7.70157e-006	3.34605e-006	1.45428e-006	6.07695e-007	2.55238e-007	1.04742e-007	4.43458e-008	1.99861e-008	1.19049e-008	
N4	0.187957	0.169352	0.149218	0.127982	0.106059	0.0841661	0.0633811	0.0449187	0.0294624	0.0179815	0.0100769	0.00522156	0.00247471	0.00108169	0.000431924	0.000159067	5.35396e-005	1.66516e-005	4.74053e-006	1.25128e-006	3.03014e-007	6.83698e-008	1.41963e-008	2.76566e-009	4.98148e-010	8.50632e-011	1.35365e-011	2.07508e-012	3.00563e-013	4.28393e-014	5.86704e-015	8.03363e-016	1.0652e-016	1.41238e-017	1.87951e-018	3.65637e-019	
Cryptocercus_primarius	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cryptocercus_relictus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Cryptocercus_punctulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0876512	0.0833907	0.0813473	0.0804284	0.0797571	0.0787226	0.076927	0.0741134	0.0688904	0.0625919	0.0543343	0.0458207	0.0366534	0.0284162	0.0208016	0.0147717	0.00987558	0.00642691	0.00392934	0.00235151	0.00131967	0.000730111	0.000378132	0.000194666	9.37964e-005	4.53342e-005	2.05437e-005	9.42571e-006	4.08099e-006	1.80318e-006	7.59422e-007	3.28286e-007	1.38098e-007	6.13324e-008	2.94409e-008	1.92218e-008	
N6	0.0417053	0.0419031	0.0448693	0.0497364	0.0558541	0.062748	0.0699769	0.0769801	0.0811882	0.0831932	0.0802549	0.0744773	0.0642037	0.0531215	0.0404406	0.0296799	0.0198815	0.0129754	0.00766486	0.00448424	0.00234979	0.00124507	0.000582286	0.000281491	0.000118202	5.23812e-005	1.98069e-005	8.05273e-006	2.77518e-006	1.05113e-006	3.42621e-007	1.26405e-007	4.26357e-008	1.6748e-008	6.83676e-009	4.13701e-009	
N7	0.0267445	0.0276492	0.031076	0.0365259	0.0436621	0.0522459	0.0619963	0.0723926	0.081072	0.087786	0.0894165	0.0868784	0.0782587	0.0668748	0.0524534	0.0391155	0.0265545	0.0173186	0.0101902	0.00588204	0.00302319	0.00157703	0.000716325	0.000345941	0.000140794	6.42649e-005	2.36148e-005	1.02245e-005	3.41425e-006	1.40196e-006	4.34742e-007	1.74803e-007	5.76964e-008	2.64852e-008	1.23169e-008	9.28303e-009	
N8	0.00801588	0.00888579	0.0112887	0.0154937	0.0219329	0.0310103	0.0428595	0.0571546	0.0719757	0.0865362	0.0974312	0.103903	0.102377	0.0944318	0.0792246	0.0617953	0.0433417	0.0283605	0.016577	0.00918068	0.00451874	0.00216689	0.000916076	0.000391598	0.000145463	5.67042e-005	1.87566e-005	6.69711e-006	1.99261e-006	6.55704e-007	1.81419e-007	5.71987e-008	1.61114e-008	5.27441e-009	1.71836e-009	8.03562e-010	
