NODE	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
N1	0.129997	0.125579	0.117592	0.107049	0.0949403	0.0821875	0.069591	0.0577739	0.0471516	0.0379324	0.0301502	0.0237219	0.0185152	0.0143858	0.0111066	0.00850623	0.00645309	0.00484366	0.0035941	0.00263494	0.00190796	0.0013643	0.00096335	0.000671785	0.000462767	0.000315063	0.000212177	0.000141531	9.36988e-005	6.17523e-005	4.06961e-005	2.70225e-005	1.84011e-005	1.36307e-005	
N2	0.419624	0.150912	0.0745602	0.0528637	0.0457519	0.0421158	0.0392535	0.0367189	0.0344998	0.032521	0.0186304	0.0143492	0.00918286	0.00729456	0.005072	0.00404648	0.00283111	0.00221338	0.00152991	0.00119053	0.000837783	0.000678155	0.000510964	0.000448917	0.000371237	0.000351408	0.000306765	0.000293344	0.000251122	0.000226333	0.000187265	0.000155135	0.000120251	0.000100075	
N3	0.427288	0.149903	0.0692744	0.0455696	0.0381551	0.0360142	0.0363325	0.0381062	0.040389	0.042063	0.0224996	0.0169791	0.00948439	0.00718756	0.00440465	0.00344893	0.00223401	0.00184043	0.00127716	0.00115721	0.000890097	0.000903065	0.000756448	0.000807817	0.000667807	0.000670315	0.000488855	0.000426703	0.000261068	0.000199223	0.000128657	9.18686e-005	5.76849e-005	4.17525e-005	
N4	0.402634	0.138652	0.0632584	0.0432659	0.0398873	0.0421933	0.046253	0.0495459	0.0503573	0.0481363	0.0233987	0.0156088	0.00773712	0.00530502	0.00312328	0.00255701	0.00196696	0.0020841	0.00197934	0.00229929	0.00213125	0.00221956	0.00173103	0.00148304	0.000921922	0.000638381	0.000315352	0.000180644	7.38612e-005	3.65384e-005	1.52181e-005	6.69584e-006	2.57225e-006	1.15307e-006	
N5	0.345581	0.124036	0.0644514	0.0529333	0.0563735	0.0615226	0.060757	0.0523919	0.0401249	0.0286216	0.010843	0.00695169	0.00436171	0.00508566	0.00569589	0.00860664	0.0100311	0.0132314	0.0124764	0.012889	0.00916151	0.0070889	0.00362838	0.00203324	0.000728644	0.000293319	7.34822e-005	2.18523e-005	3.98441e-006	9.29181e-007	1.68197e-007	3.23538e-008	5.02677e-009	8.94333e-010	
N6	0.307483	0.111577	0.0572188	0.0435419	0.0435623	0.0463837	0.0431476	0.0336414	0.0247452	0.0229819	0.0159918	0.024184	0.0247345	0.0335188	0.0292663	0.0310995	0.0260726	0.028191	0.0215735	0.0171604	0.00818331	0.00408157	0.00117738	0.000391125	7.22736e-005	1.67351e-005	1.97676e-006	3.18945e-007	2.24689e-008	2.7391e-009	2.37891e-010	2.56513e-011	2.04914e-012	1.8027e-013	
N7	0.30345	0.113686	0.0599537	0.0473268	0.0480405	0.0471815	0.0384821	0.0269554	0.0193311	0.0180996	0.0158976	0.0242711	0.0278432	0.0369161	0.0337425	0.0358769	0.030452	0.0297899	0.0207273	0.0134391	0.00563866	0.00219386	0.000545209	0.000135411	2.0773e-005	3.45995e-006	3.24453e-007	3.72145e-008	2.02351e-009	1.75929e-010	9.97199e-012	7.73436e-013	4.62251e-014	6.36584e-015	
N8	0.246955	0.105718	0.0564078	0.0324976	0.0172968	0.00801497	0.00383311	0.00323535	0.00713062	0.0256055	0.0473412	0.0911254	0.0999494	0.106039	0.0717888	0.0463633	0.0196492	0.00809892	0.00217973	0.000624105	0.000115749	2.58288e-005	3.62372e-006	6.56102e-007	7.11925e-008	1.01716e-008	8.32898e-010	9.3427e-011	5.79711e-012	5.49724e-013	3.93043e-014	3.38877e-015	2.30607e-016	1.84041e-017	
Acanthoxyla_geisovii	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.0252589	0.00155857	4.44045e-005	1.09152e-006	2.70865e-008	1.28262e-008	2.44776e-006	0.000414238	0.0311715	0.635874	0.265207	0.0382652	0.00212605	7.47017e-005	1.46785e-006	2.20161e-008	2.12685e-010	1.89728e-012	1.16698e-014	8.33505e-017	3.99949e-019	2.46432e-021	9.35706e-024	4.49614e-026	1.29584e-028	4.66629e-031	1.02463e-033	2.84546e-036	5.02025e-039	1.13041e-041	1.91887e-044	3.5322e-047	5.0964e-050	7.60353e-053	
Acanthoxyla_inermis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Clitarchus_hookeri	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
